target,status,count,bias,MAE,RMSE,nMAE,nRMSE,Pearson_r,Spearman_rho,Kendall_tau,slope,intercept,MAE_ci_low,MAE_ci_high,rank_preservation,stress_test_label
EUIt,available,18,2.050139539290008,3.7883600924693295,4.798603899881475,0.3395109699912378,0.4300485236055172,-0.3357381660266799,-0.4043441947122191,-0.3168472137525358,-0.1914569451334928,85.97428092991431,2.576657244731545,5.0731585770139285,0.34,limited physics-based cross-model stress test
EG_GHI_proxy,available,18,0.0030046959753694,0.4407351710027634,0.5037323882998731,0.404818394501458,0.4626817874007634,0.0389737634369768,-0.0227155425212127,0.0131148245894105,0.0544879112438527,2.245557293163266,0.3347596403117531,0.5456084230277339,0.506578947368421,limited physics-based cross-model stress test
EG_roof_irradiance,unavailable,0,,,,,,,,,,,,,,limited physics-based cross-model stress test
H,available,18,-0.4855565552965597,1.1076568702448155,1.260242761543644,0.6008671780810383,0.6836399720595949,-0.1210836023142681,-0.0430948681273927,-0.0604081267373493,-0.2410664395076492,8.397722466902088,0.8368802184000402,1.3819383290957477,0.4761904761904761,limited physics-based cross-model stress test
