scenario,episode,n_seeds,reward_mean,reward_std,EUIt_mean,EUIt_std,EG_mean,EG_std,H_mean,H_std
Balanced_Performance,0,20,2.982057418062074,0.6842311095388101,77.59201683998108,0.21072716420785323,1.8314464282803236,0.015468804505361545,6.377987474473193,0.057758909511875824
Balanced_Performance,1,20,2.5527679988563756,0.5874117190311441,77.63546767115592,0.1404864181160152,1.8243623592890799,0.012399602220713775,6.330862654913217,0.06900335533380307
Balanced_Performance,2,20,2.7750122107978417,0.6444613965148692,77.65676523566246,0.2264480442960485,1.8241742692887783,0.012630103525652973,6.368677186332643,0.0586776912969577
Balanced_Performance,3,20,3.0001080230845725,0.5565660056375932,77.58884886354208,0.13724116176064383,1.827576342113316,0.012320939137418597,6.385153369065374,0.054536381148727955
Balanced_Performance,4,20,4.511957052837561,1.1254479943678202,77.35131282031537,0.19728445999536265,1.8577842599712313,0.025489079320708895,6.527443022299558,0.10734081474015256
Balanced_Performance,5,20,7.536790695717326,1.5234513478429883,76.49308987081051,0.4597273634991447,1.921904743127525,0.038509605279378946,6.722505473522469,0.0967407861725931
Balanced_Performance,6,20,8.433317710360907,1.4759930927475622,76.27310362786054,0.36352841550430454,1.9374995427206159,0.04093896466023952,6.7949262547492975,0.10866703649905389
Balanced_Performance,7,20,8.509763012704708,1.2230822349323984,76.19597200602293,0.46141072148286655,1.9389056075178086,0.029439654396674012,6.786838641650975,0.06975074761164464
Balanced_Performance,8,20,8.939167478538568,1.202018883293667,76.13092500418425,0.3908019865142008,1.9462655835971236,0.03282420611091877,6.829351155031472,0.06372374393612731
Balanced_Performance,9,20,8.919630038234276,1.1901964477064997,76.13125918835401,0.3998453818353904,1.9555723962932823,0.030591795983064333,6.801209469493479,0.07381767220957722
Balanced_Performance,10,20,8.816326950957885,1.0286309606604127,76.10579979747533,0.40516596813252564,1.950028193797916,0.026043160302127576,6.790423544030636,0.0641929250973023
Balanced_Performance,11,20,9.088199212270952,1.0737194923875322,76.02644031792879,0.41707914314920913,1.9541861530020832,0.02961359998152542,6.8134796969778835,0.06705986286258009
Balanced_Performance,12,20,8.792360890960055,1.1471323257445714,76.06040226384997,0.44684657670968403,1.9453279975429176,0.02479391405826868,6.789913326762617,0.07315414326479402
Balanced_Performance,13,20,8.777360797752142,1.5114544785863253,76.12660757243633,0.5256007319856434,1.948520245850086,0.03973258181406821,6.788787931688129,0.08324588312927382
Balanced_Performance,14,20,9.330963539835029,1.2384515870462303,75.98938326522708,0.42953634265418994,1.9610205525159838,0.03400473696505374,6.832338668014854,0.07518864392465105
Balanced_Performance,15,20,9.573375738382666,1.0873838483552691,75.8043735858798,0.405343803469998,1.9635160431079566,0.025560638521528425,6.827839135527611,0.06922072447929284
Balanced_Performance,16,20,9.659643271869664,1.3094819580512584,75.85791175454855,0.41794385610972384,1.9668642733432353,0.03677455463573503,6.844779587201773,0.081855478086002
Balanced_Performance,17,20,9.28404251045713,1.284104195165469,76.00971114009619,0.4461283851112182,1.9580539448745546,0.03328938090726826,6.831670154295861,0.07144438754698716
Balanced_Performance,18,20,9.304270229990152,1.397057715508947,76.0307669699192,0.4241622219360503,1.9644166255928575,0.032813823869782724,6.824560506362468,0.09898944348255352
Balanced_Performance,19,20,9.625289988958183,1.7159300263282051,75.90856251180172,0.5093523377471667,1.9697585269808768,0.041776021303002626,6.842084370870142,0.11238486097704561
Balanced_Performance,20,20,9.719146947081104,1.0883017940299278,75.93074973165989,0.4045762952709981,1.9712740696035325,0.02487503746912326,6.860489746909589,0.07385325855430036
Balanced_Performance,21,20,9.279363417899916,1.134611682346124,76.00504915773868,0.33441412056610753,1.9606392666324972,0.028716910945586163,6.824529179781675,0.07628658172540642
Balanced_Performance,22,20,9.1972740051125,1.2103416866835546,75.98731292396783,0.42049849432743824,1.958854421619326,0.0320987454532609,6.814239690098911,0.07220975953922865
Balanced_Performance,23,20,9.66421200210833,1.2103631518166473,75.92914942920208,0.4192396019511489,1.9705365578830243,0.029589543377376962,6.848721102010458,0.07509289966875297
Balanced_Performance,24,20,9.723035522273499,1.2462074154598006,75.94966002732515,0.43224734427109435,1.975911978147924,0.028314162921931087,6.850047013983131,0.07951925924166352
Balanced_Performance,25,20,9.590529354355324,1.4240093507244374,75.95739091545343,0.43729219724582075,1.9744593983702363,0.032228506101121115,6.834954476244748,0.0959075171073232
Balanced_Performance,26,20,10.075312847767725,1.4960516987254553,75.77440736830235,0.47991236035383894,1.97964038413018,0.03650099917780162,6.865342192277312,0.0861546599668402
Balanced_Performance,27,20,9.5430251530837,1.1618914778069314,75.92409600913524,0.37525982175472716,1.971221378557384,0.03218581941272438,6.826644526999443,0.0723782040472497
Balanced_Performance,28,20,10.337820235225319,1.1431753446029975,75.78784087091684,0.5316967450631154,1.995687441378832,0.028295935196024313,6.876920909509063,0.04448658866711981
Balanced_Performance,29,20,9.49728506112302,1.5038444644296258,76.0273070859909,0.5078658195093497,1.9733482867479324,0.036500418026414315,6.832965586390347,0.08688004708009348
Balanced_Performance,30,20,9.950507886108547,1.316065773308113,75.87504751622677,0.4842661716487158,1.9840985533595084,0.030029165649482135,6.856459132861346,0.07909776577692723
Balanced_Performance,31,20,10.142139866313254,1.534093321647378,75.7421445350349,0.4438189733616116,1.986926776310429,0.04105055056127461,6.8582812119740995,0.10123188851312846
Balanced_Performance,32,20,10.604035898341143,0.9445681007158874,75.74064300358296,0.3337671965889045,2.003025784380734,0.026389303670357155,6.895274253310636,0.051139422972014625
Balanced_Performance,33,20,10.049610011922093,1.522449630829789,75.85215064629912,0.5752031117811743,1.987244323026389,0.03873446659871067,6.863038546079769,0.0794129953919
Balanced_Performance,34,20,9.666546686743969,1.3023529489854169,75.95258703827858,0.45499559785787,1.977550859339535,0.03378567129106829,6.840281360736117,0.07205256094669465
Balanced_Performance,35,20,9.996133298270165,1.1773652249345725,75.969809371531,0.47377388631266665,1.9912822964601218,0.031197122923401512,6.866966095585376,0.06176670164680902
Balanced_Performance,36,20,10.381943634217723,1.3947272844086713,75.74643781512975,0.49599551715218254,1.9938921096920967,0.04264288400824201,6.882769395597279,0.06145197575846016
Balanced_Performance,37,20,10.068494552121107,1.6470830911953496,75.90903753429652,0.5726405887458038,1.9929171819984912,0.04322485934187314,6.8623142064362765,0.08211206075952761
Balanced_Performance,38,20,9.939215989214011,1.431892725235904,75.97814894288778,0.45111823259720857,1.9874889355525376,0.03581370931189142,6.866094268169254,0.08971349830081576
Balanced_Performance,39,20,10.12666717973709,1.1572887235092386,75.8864384791255,0.4270833232765343,1.9908873513527214,0.02816003683300497,6.8716013172827655,0.0765993829042493
Balanced_Performance,40,20,10.502069676783027,1.705814742957358,75.84141717731953,0.5972225496513626,2.002270988393575,0.03981245131188741,6.899741748571396,0.08853272907222388
Balanced_Performance,41,20,9.838376221768913,1.640183395885793,75.91399958610535,0.5156686545885225,1.9877912134490905,0.037624048365681416,6.836067609330639,0.10112368957924374
Balanced_Performance,42,20,9.96194574491622,1.3341395983803157,75.98501245677471,0.48366159677660836,1.9895046572200954,0.039210929261139754,6.867770416298882,0.060915537543472134
Balanced_Performance,43,20,10.500922578014487,1.348907582248184,75.76072606444359,0.4485742415868929,2.0066168114356695,0.03585061937584053,6.8726214947551485,0.07426635578836173
Balanced_Performance,44,20,10.91693955126989,1.408744090380532,75.6625402313471,0.479847338032385,2.0140576968342065,0.03375712450378014,6.904097614800557,0.08605288885604777
Balanced_Performance,45,20,10.58412185453313,1.335870135037878,75.82665043622255,0.4083229998523546,2.0053860648721455,0.0398534356590511,6.9045931696705525,0.07690988914744823
Balanced_Performance,46,20,11.156198861355815,1.246329309610048,75.62160817980767,0.4240389701569715,2.0234518761187794,0.02905727125054602,6.9180690898839385,0.08403066935210474
Balanced_Performance,47,20,10.979626617722431,1.5450355276939678,75.64329785764218,0.5002864767798464,2.0160376554355026,0.0421354647327152,6.909272570209578,0.08723399276563679
Balanced_Performance,48,20,10.877988671565472,1.4338681685306016,75.67384551256895,0.4937617813241944,2.0138573346659543,0.03464311106907644,6.901635949071496,0.08449773867875522
Balanced_Performance,49,20,10.832117781870497,1.4434276358200904,75.7373927333951,0.49246581686395713,2.0134643538482484,0.03833575937661305,6.910330129656941,0.07787050102315952
Balanced_Performance,50,20,11.004576870545852,1.1461511815443959,75.74069876670838,0.4232771571873348,2.0194270238280296,0.03202261293269381,6.922692700857297,0.06542240343140597
Balanced_Performance,51,20,10.91076501197342,1.303605889671717,75.72873186796903,0.4959561747226128,2.0180383600108325,0.03213271577925481,6.911685556136073,0.07064273896455239
Balanced_Performance,52,20,11.080301166740007,1.839191654872966,75.63413326650858,0.5757892209341879,2.0215816364251076,0.04668863946909127,6.912141713202,0.10192453250346344
Balanced_Performance,53,20,11.05294446789583,1.4425770415916892,75.63552511930466,0.42034700771433847,2.0241560631617905,0.039059632613214115,6.900505895679816,0.09877873760602719
Balanced_Performance,54,20,11.542696115858782,1.547547580076188,75.5364732080698,0.5449480197148167,2.0331892762891948,0.032158996125337555,6.941676318477839,0.09120958924564537
Balanced_Performance,55,20,11.54808132510254,1.6070865679151831,75.49390316337346,0.5556013849234335,2.0342106642201543,0.03978043206589322,6.928185832072049,0.08265631472366912
Balanced_Performance,56,20,12.092730948518476,1.7200233365738877,75.31978490188718,0.5528348980151511,2.050019769910723,0.04647005938599919,6.952966028125957,0.08636633721469578
Balanced_Performance,57,20,11.720142271025862,1.2016048694887185,75.50398321211338,0.4205891553343164,2.036935498183593,0.03151725647369712,6.956450801184401,0.058861282683059235
Balanced_Performance,58,20,12.07946018333571,1.627799212671072,75.28777057379484,0.47383854899423644,2.046559301633388,0.04033304037528201,6.94813654105179,0.10376259544998277
Balanced_Performance,59,20,12.209916277407878,2.07763029094706,75.25249390691519,0.5979841134167717,2.051590653266758,0.05474237429439571,6.952254855288193,0.12162670851973456
Balanced_Performance,60,20,12.073187638399862,1.5304970688723158,75.35196539849042,0.5107521909134162,2.0479992953129114,0.036994500385144506,6.959263939675876,0.09101792098951386
Balanced_Performance,61,20,12.347078169669956,1.2359622666873455,75.33690139591694,0.39803622704865466,2.056157505195588,0.035132150678287705,6.984920614827425,0.06811932982597238
Balanced_Performance,62,20,12.125588201577091,1.5064546064372264,75.32530821502209,0.5589994134038601,2.050810133563355,0.040484212817058746,6.956871902868151,0.06419927278435796
Balanced_Performance,63,20,12.788898437420604,1.7582650986405326,75.11193707421423,0.551590438138814,2.0672133762948213,0.04400600723622506,6.986898201857693,0.1039204170369567
Balanced_Performance,64,20,11.871398540947954,1.0381393700123827,75.43038266167045,0.3702749508945212,2.048084927685559,0.027768966562953058,6.943527812408282,0.06878825706583142
Balanced_Performance,65,20,12.255402130384196,1.6633448557044754,75.26747288450599,0.631961661657436,2.0531317264772952,0.04056323227474196,6.961500465702265,0.07762406144090522
Balanced_Performance,66,20,12.482819609268068,1.7690867906317032,75.24202350199224,0.579844764159093,2.0631416718289257,0.04883115516257661,6.971684858156368,0.08996680036713522
Balanced_Performance,67,20,12.724770867550074,1.9593213132172407,75.13946050435304,0.7166787743018646,2.0673290695901962,0.053362118019440546,6.979137346227654,0.07636941173498393
Balanced_Performance,68,20,12.53890707256797,1.1491579013119362,75.22416071161628,0.40939260765530405,2.0642065305821595,0.030350667769801228,6.972162534408271,0.07193887669021995
Balanced_Performance,69,20,12.420488813944512,1.6478024029477985,75.31069633692502,0.5546141561650717,2.062284487783909,0.04553218322899063,6.975967538598925,0.08493427631137512
Balanced_Performance,70,20,12.409994353274797,1.9919783701775244,75.30189095258713,0.6291710195819626,2.059434207389131,0.05660799121269227,6.978943034457044,0.0981072382258892
Balanced_Performance,71,20,12.599348380601402,1.6513063862564727,75.17544450342655,0.544487754467473,2.0681226040422915,0.04021553590259249,6.965163829978556,0.0976102000038542
Balanced_Performance,72,20,12.949600766691045,1.6426467425513545,75.08459772914648,0.5756032319588402,2.0743139857705684,0.04498764598387496,6.989310275418684,0.0795377552740666
Balanced_Performance,73,20,13.279022913888976,1.7310682837446405,75.00940002799034,0.5926737130961677,2.0844039575755593,0.0433487240551277,7.006262773787602,0.08806777196827748
Balanced_Performance,74,20,13.364697833732674,1.495445303504643,74.97922885894775,0.5488254320823155,2.086110410913825,0.0352955567724829,7.010908120628446,0.0864726864125266
Balanced_Performance,75,20,13.112831990001013,1.6825660295299754,75.0870104663074,0.5161511682697982,2.0856714909896255,0.044485969537883356,6.992475955393165,0.10532893237021083
Balanced_Performance,76,20,13.342822582422883,1.4200100666267987,74.99823842793703,0.5254898391254804,2.088072551647201,0.03879339703212961,7.007880440177397,0.07410218964509492
Balanced_Performance,77,20,13.669637893518603,1.725238402551443,74.89748720541596,0.5593403551061992,2.1015135845169426,0.04322947844654864,7.008841595910489,0.0990287600620637
Balanced_Performance,78,20,13.849546403637106,1.9834601841376784,74.82205533087253,0.6340713845709961,2.1005512920394542,0.05532460784961963,7.027287504756823,0.1094270137731082
Balanced_Performance,79,20,13.778307722680722,1.220341843240968,74.86219887033106,0.39834735217511336,2.099060103222728,0.03551435646627009,7.028270649183542,0.07021640085191069
Balanced_Performance,80,20,14.444895725296007,1.5845683749575632,74.6552130959183,0.4962567123134723,2.118296113451943,0.04432035408933537,7.05755622454919,0.10124358453966373
Balanced_Performance,81,20,14.335461604514004,1.8706239492886965,74.63608277261258,0.6122046061743244,2.1130279461294412,0.04514342889248512,7.043529031369834,0.10890426733403163
Balanced_Performance,82,20,14.424802793011775,1.6791568345618464,74.5990279109776,0.5604259972310006,2.1169603975396605,0.04350494963611473,7.0435235619195735,0.10797723558758374
Balanced_Performance,83,20,14.363667104793091,1.7049260103607202,74.65375216379762,0.5802722815157956,2.1138518604356795,0.044256798827736366,7.049583789212629,0.0893958936987316
Balanced_Performance,84,20,14.422545219589475,1.5663667421228005,74.69531937330962,0.4558435894020781,2.1223119124118237,0.043097951420026495,7.050491657061502,0.09179242953762501
Balanced_Performance,85,20,14.624265276332196,1.4644376841073583,74.61496320456266,0.49665833064085657,2.128658792069182,0.03656640124285352,7.050653989771381,0.08889106148778887
