sample_size,group,HV_mean,HV_std,HV_p05,HV_p95,IGD_mean,IGD_std,IGD_p05,IGD_p95
20,NSGA-II_downsample,1.3309976498846339,4.692987569833653e-06,1.3309856138798415,1.3309999999366788,0.5835802850656845,0.1335737547119179,0.36853861295199475,0.7607276568146021
60,NSGA-II_downsample,1.3309999004217636,2.432725036651101e-07,1.3309993016907258,1.3309999999471378,0.5756498986833612,0.08194807297775826,0.4606140845288683,0.7159789711196255
100,NSGA-II_downsample,1.3309999663577017,9.481835722369075e-08,1.3309998733743351,1.330999999951431,0.5173961287760441,0.09336956017003727,0.385720724188086,0.6762023692574362
