station,mean_delta_EUIt,mean_delta_EG,mean_delta_H,energyplus_success_count,radiance_success_count
Beijing,13.467250000000003,0.13483486799999994,-0.056250000000000355,4,4
Guangzhou,-2.971749999999993,-0.057495501000000004,-0.02499999999999991,4,4
Harbin,55.6805,-0.04400462699999996,-0.675,4,4
