,count,mean,std,min,5%,25%,50%,75%,95%,max
FAR,2000.0,1.7465407986111112,0.4005276798835262,0.6770833333333334,1.09375,1.4735243055555556,1.7361111111111112,2.013888888888889,2.4131944444444446,3.333333333333333
SD,2000.0,42.4711875,11.491864230797947,8.625,20.981250000000003,35.625,43.5,50.625,59.625,69.375
AF,2000.0,8.634587230968034,2.748395603037671,2.6,4.592592592592593,6.6923076923076925,8.333333333333334,10.263833992094861,13.477380952380951,22.58823529411765
AR_ew,2000.0,0.9287328319488459,0.3146846969771179,0.1965829667406193,0.48080810928298395,0.6976302421514692,0.8948398976511087,1.1255564490031262,1.5250440753952923,2.252757955391737
AR_ns,2000.0,2.4509801009311833,0.9862700560042551,0.6653698315265142,1.1927622992048688,1.6998556780155845,2.2873991508874454,3.005606342153854,4.347383549538202,7.204122706894503
SVF,2000.0,0.606710909768132,0.05519013680287999,0.4151063179509038,0.5106164176046969,0.5722072584897373,0.6079443387291521,0.644896295417227,0.6923130201792348,0.7436255922366087
BD,2000.0,0.20813802083333333,0.019913552149994993,0.1475694444444444,0.1736111111111111,0.1909722222222222,0.2083333333333333,0.2256944444444444,0.2430555555555555,0.2690972222222222
OSR,2000.0,0.47776333340564514,0.11259565352537577,0.2557291666666667,0.33649463753985615,0.3991525423728813,0.4568627450980392,0.530952380952381,0.7,1.0923076923076922
SC,2000.0,0.6651278725106724,0.08573467645314377,0.5031928750321852,0.5591443228613215,0.6057993210470987,0.6481497726820422,0.7039721328686377,0.8329642785110689,1.1444767290534232
PAR,2000.0,0.12755630786284158,0.009413805854630928,0.1004827586206896,0.1127826086956521,0.1206666666666666,0.127259137825841,0.13430169074827214,0.1431998990679237,0.1577831482911935
theta,2000.0,0.5113911637400961,26.001567045139208,-44.91535662273134,-40.741999371212934,-22.51486880939276,1.7063051894541985,23.06311103030198,40.71567618405994,44.98650070138696
OSLI,2000.0,4.013,2.5919471628579784,0.0,0.0,2.0,4.0,6.0,8.0,8.0
EUIt,2000.0,70.5741083711014,2.1543006863543095,66.0,67.05893985550121,69.11718222863465,70.53068595487102,71.898867533632,74.27138194386025,78.28421589527046
EG,2000.0,2.397007668721869,0.1989548821760659,1.7612768169896589,2.058911144490987,2.260305451403178,2.4039755674360457,2.5366213755088967,2.7138281743228414,2.85
H,2000.0,6.96616929178363,0.3448263241015384,6.006569520434968,6.40207286907541,6.731426193152617,6.957298263419187,7.192570131596846,7.554351841195996,7.85
