group,HV,IGD,archive_rows,non_dominated_rows
Balanced_Performance,0.347404240428601,0.7196336732419489,20,6
Energy_Generation_Focus,1.0107424885251182,0.22048366927452373,20,3
Energy_Saving_Focus,0.6252282421179792,0.5490857458951972,20,5
NSGA-II,1.3310000000000002,0.10676879393889152,2000,100
