sample_size,rep,group,HV,IGD,archive_rows,non_dominated_rows
20,0,NSGA-II_downsample,1.3309982601098689,0.6551934847901983,20,3
20,1,NSGA-II_downsample,1.3309755349492933,0.3796167911130946,20,11
20,2,NSGA-II_downsample,1.3309997561140035,0.6875214317229242,20,3
20,3,NSGA-II_downsample,1.3309961436597992,0.5680890949200099,20,3
20,4,NSGA-II_downsample,1.3309994402426073,0.6460547469216108,20,4
20,5,NSGA-II_downsample,1.3309999734925175,0.7594343715513225,20,2
20,6,NSGA-II_downsample,1.3309979373920005,0.4251146544358362,20,12
20,7,NSGA-II_downsample,1.3309998568395518,0.4943352321023031,20,10
20,8,NSGA-II_downsample,1.3309981525797745,0.6066801442316729,20,4
20,9,NSGA-II_downsample,1.3309988300943845,0.6858088739665256,20,3
20,10,NSGA-II_downsample,1.3309998992129395,0.699347832643607,20,3
20,11,NSGA-II_downsample,1.3309999999366784,0.7607276568146021,20,2
20,12,NSGA-II_downsample,1.3309988410243736,0.5125472599056989,20,5
20,13,NSGA-II_downsample,1.3309989652908365,0.4733264365119517,20,11
20,14,NSGA-II_downsample,1.3309994250767105,0.6839941754282867,20,3
20,15,NSGA-II_downsample,1.3310000000000004,0.8114477808433125,20,1
20,16,NSGA-II_downsample,1.3309950553593537,0.37101626501051127,20,11
20,17,NSGA-II_downsample,1.3309995839950886,0.6507361262778472,20,4
20,18,NSGA-II_downsample,1.330999759350156,0.7537989799171223,20,2
20,19,NSGA-II_downsample,1.330999960602459,0.661884090883589,20,4
20,20,NSGA-II_downsample,1.3309986150858104,0.30568038137399395,20,15
20,21,NSGA-II_downsample,1.330997793583496,0.5352318083453891,20,4
20,22,NSGA-II_downsample,1.3309814282148442,0.3123564799118383,20,12
20,23,NSGA-II_downsample,1.3309999577460372,0.674519806249699,20,4
20,24,NSGA-II_downsample,1.330999965643204,0.6748056002508909,20,4
20,25,NSGA-II_downsample,1.3309980613678016,0.47673286907888585,20,10
20,26,NSGA-II_downsample,1.33099886527914,0.5652042655252717,20,5
20,27,NSGA-II_downsample,1.3309996916745583,0.6126786138434369,20,5
20,28,NSGA-II_downsample,1.3309990738160897,0.4089563987541213,20,11
20,29,NSGA-II_downsample,1.3309991055932795,0.5998203597979158,20,6
20,30,NSGA-II_downsample,1.3309985597187042,0.4196275427190092,20,13
20,31,NSGA-II_downsample,1.3309991799937577,0.6210500548231475,20,4
20,32,NSGA-II_downsample,1.3309999635458563,0.62793894644392,20,5
20,33,NSGA-II_downsample,1.3309999999366788,0.7607276568146021,20,2
20,34,NSGA-II_downsample,1.3309998155213667,0.6640350767165294,20,4
20,35,NSGA-II_downsample,1.3309991860091133,0.5069281743271102,20,4
20,36,NSGA-II_downsample,1.330999860622125,0.7103572027020493,20,3
20,37,NSGA-II_downsample,1.3309995830074397,0.5010133883679588,20,7
20,38,NSGA-II_downsample,1.3309775587309647,0.5093246128608996,20,8
20,39,NSGA-II_downsample,1.3309983052573475,0.5723128564385976,20,4
20,40,NSGA-II_downsample,1.3309998459889005,0.6288227366995753,20,5
20,41,NSGA-II_downsample,1.330999937414322,0.6585644988837389,20,3
20,42,NSGA-II_downsample,1.3309989394269977,0.4282300886015522,20,8
20,43,NSGA-II_downsample,1.3309994957302456,0.7045938730300063,20,3
20,44,NSGA-II_downsample,1.330996599914104,0.36880529163677517,20,11
20,45,NSGA-II_downsample,1.3309997506567057,0.7304955206678823,20,2
20,46,NSGA-II_downsample,1.3309982536990914,0.46173038361926166,20,8
20,47,NSGA-II_downsample,1.3309965298142477,0.4259637324321639,20,11
20,48,NSGA-II_downsample,1.3309999999366784,0.7159789711196255,20,3
20,49,NSGA-II_downsample,1.3309981731496403,0.3719500773268053,20,12
20,50,NSGA-II_downsample,1.330996117887071,0.5063263815079259,20,9
20,51,NSGA-II_downsample,1.3309947878585655,0.4326292599032638,20,12
20,52,NSGA-II_downsample,1.3309999977595561,0.542670749999586,20,6
20,53,NSGA-II_downsample,1.3309997561167053,0.572920300424308,20,4
20,54,NSGA-II_downsample,1.3309879203581272,0.41910841500097556,20,8
