feature,count,min,q01,q05,q10,q25,median,mean,std,q75,q90,q95,q99,max,record_type,component_index,explained_variance_ratio,cumulative_explained_variance,sample_id,normalized_nearest_neighbor_distance,OSLI
FAR,2000.0,0.6770833333333334,0.911371527777778,1.09375,1.2239583333333333,1.4735243055555556,1.7361111111111112,1.7465407986111112,0.4004275354439353,2.013888888888889,2.265625,2.4131944444444446,2.6998263888888885,3.333333333333333,feature_summary,,,,,,
SD,2000.0,8.625,14.625,20.981250000000003,26.25,35.625,43.5,42.4711875,11.488990905529684,50.625,56.625,59.625,65.25,69.375,feature_summary,,,,,,
AF,2000.0,2.6,3.6893103448275855,4.592592592592593,5.285714285714286,6.6923076923076925,8.333333333333334,8.634587230968034,2.74770841822807,10.26383399209486,12.25108695652174,13.477380952380951,16.333684210526314,22.58823529411765,feature_summary,,,,,,
AR_ew,2000.0,0.1965829667406193,0.3545502521865801,0.4808081092829839,0.5501862982859353,0.6976302421514692,0.8948398976511087,0.928732831948846,0.3146060159665176,1.1255564490031262,1.3622471841133836,1.5250440753952923,1.73651762799831,2.252757955391737,feature_summary,,,,,,
AR_ns,2000.0,0.6653698315265142,0.9029877958359732,1.1927622992048688,1.352355294202826,1.6998556780155845,2.2873991508874454,2.450980100931184,0.9860234576616072,3.005606342153854,3.8230954550118623,4.347383549538202,5.349330945533504,7.204122706894503,feature_summary,,,,,,
SVF,2000.0,0.4151063179509038,0.4596822680766856,0.5106164176046969,0.5355508041596809,0.5722072584897373,0.6079443387291521,0.606710909768132,0.0551763375435561,0.644896295417227,0.6767753387418104,0.6923130201792348,0.7215650546144928,0.7436255922366087,feature_summary,,,,,,
BD,2000.0,0.1475694444444444,0.1649305555555555,0.1736111111111111,0.1822916666666666,0.1909722222222222,0.2083333333333333,0.2081380208333333,0.0199085731395033,0.2256944444444444,0.234375,0.2430555555555555,0.2517361111111111,0.2690972222222222,feature_summary,,,,,,
OSR,2000.0,0.2557291666666667,0.3053914008321775,0.3364946375398561,0.3589957601453664,0.3991525423728813,0.4568627450980392,0.4777633334056451,0.1125675010925003,0.530952380952381,0.625531914893617,0.7,0.8288624542124543,1.0923076923076922,feature_summary,,,,,,
SC,2000.0,0.5031928750321852,0.5359317276596277,0.5591443228613215,0.5740606944444445,0.6057993210470987,0.6481497726820422,0.6651278725106724,0.0857132401041518,0.7039721328686377,0.7783866759034015,0.8329642785110689,0.9283981141410456,1.1444767290534232,feature_summary,,,,,,
PAR,2000.0,0.1004827586206896,0.1066842970822281,0.1127826086956521,0.1156506454132687,0.1206666666666666,0.127259137825841,0.1275563078628415,0.0094114521089122,0.1343016907482721,0.1398970945988234,0.1431998990679237,0.1483838194110927,0.1577831482911935,feature_summary,,,,,,
theta,2000.0,-44.91535662273134,-43.95816495136305,-40.74199937121293,-36.012585384913464,-22.51486880939276,1.7063051894541983,0.5113911637400961,25.995065840625752,23.06311103030198,36.05980191389297,40.71567618405994,44.20109799710798,44.98650070138696,feature_summary,,,,,,
OSLI,2000.0,0.0,0.0,0.0,1.0,2.0,4.0,4.013,2.5912990950486594,6.0,8.0,8.0,8.0,8.0,feature_summary,,,,,,
,,,,,,,,,,,,,,,pca_cumulative,1.0,0.27879516985091346,0.27879516985091346,,,
,,,,,,,,,,,,,,,pca_cumulative,2.0,0.25613467250403316,0.5349298423549467,,,
,,,,,,,,,,,,,,,pca_cumulative,3.0,0.19320324790150337,0.72813309025645,,,
,,,,,,,,,,,,,,,pca_cumulative,4.0,0.09184250943118101,0.819975599687631,,,
,,,,,,,,,,,,,,,pca_cumulative,5.0,0.07941762575625722,0.8993932254438882,,,
,,,,,,,,,,,,,,,pca_cumulative,6.0,0.051938546069221304,0.9513317715131095,,,
,,,,,,,,,,,,,,,pca_cumulative,7.0,0.03080527200465787,0.9821370435177674,,,
,,,,,,,,,,,,,,,pca_cumulative,8.0,0.008071839646283645,0.9902088831640511,,,
,,,,,,,,,,,,,,,pca_cumulative,9.0,0.005474505824159343,0.9956833889882104,,,
,,,,,,,,,,,,,,,pca_cumulative,10.0,0.003596220343419732,0.9992796093316302,,,
,,,,,,,,,,,,,,,pca_cumulative,11.0,0.0005982755951700399,0.9998778849268002,,,
,,,,,,,,,,,,,,,pca_cumulative,12.0,0.0001221150731998025,1.0,,,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,0.0,0.22323764817927733,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,1.0,0.23122296442965531,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,2.0,0.1357016107914842,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,3.0,0.20088544651723372,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,4.0,0.22708815736056914,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,5.0,0.20506965692833287,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,6.0,0.17781961395798068,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,7.0,0.11241643101286371,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,8.0,0.17842749097474842,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,9.0,0.16220353603453758,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,10.0,0.37114956011533756,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,11.0,0.14402475336754392,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,12.0,0.13904909948076608,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,13.0,0.11748287545221929,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,14.0,0.15217325004955246,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,15.0,0.16044860622448764,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,16.0,0.1990493170944915,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,17.0,0.14337636760619824,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,18.0,0.19467408472005715,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,19.0,0.13630436058849926,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,20.0,0.06767783412087773,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,21.0,0.17558360258048483,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,22.0,0.1497495733650853,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,23.0,0.21140970234819234,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,24.0,0.11262210852617507,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,25.0,0.22859858695290547,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,26.0,0.11418122540534122,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,27.0,0.5271390763869185,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,28.0,0.188894805939334,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,29.0,0.17381218788418795,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,30.0,0.23109912218122466,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,31.0,0.2038543768312385,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,32.0,0.12808935841289823,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,33.0,0.2698741677586212,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,34.0,0.12175843985820048,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,35.0,0.2207947163629728,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,36.0,0.33193072785141337,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,37.0,0.20791267291044585,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,38.0,0.2602407910177133,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,39.0,0.1858884161656503,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,40.0,0.30241000258338113,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,41.0,0.11087891791323759,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,42.0,0.18954764969766372,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,43.0,0.20243462394714773,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,44.0,0.24681570634306282,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,45.0,0.16551700662852215,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,46.0,0.11223764986769942,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,47.0,0.13142861930902106,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,48.0,0.21861324682854927,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,49.0,0.19928221498985643,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,50.0,0.1801084115018467,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,51.0,0.20819735631816663,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,52.0,0.2663323824264397,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,53.0,0.13933116152685648,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,54.0,0.21081652300566422,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,55.0,0.15395778945158953,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,56.0,0.30980455219521735,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,57.0,0.30335278788017805,
,,,,,,,,,,,,,,,nearest_neighbor_distance,,,,58.0,0.19377178810417103,
