group,group_label,feature,median,q25,q75
NSGA-II,NSGA-II,FAR,1.7132297251191773,1.575561967324524,1.8223805408409604
NSGA-II,NSGA-II,SD,41.97503336112874,35.802657526311464,50.45254408593886
NSGA-II,NSGA-II,AF,9.003599415561812,8.042946342727365,9.95909605200059
NSGA-II,NSGA-II,AR_ew,0.5124899153628599,0.4253162530871154,0.582951584621141
NSGA-II,NSGA-II,AR_ns,1.5941080424613658,1.0920286575110931,1.9939118321512805
NSGA-II,NSGA-II,SVF,0.6535801175119714,0.6405669249349504,0.6741960309581857
NSGA-II,NSGA-II,BD,0.20040722414336176,0.190494693463603,0.2107506121309563
NSGA-II,NSGA-II,OSR,0.4211038827482901,0.4015901840484875,0.4515691657244305
NSGA-II,NSGA-II,SC,0.6627175134961651,0.6263081043132497,0.6994689191651322
NSGA-II,NSGA-II,PAR,0.1273090936986314,0.12258300970444197,0.13440139794350642
NSGA-II,NSGA-II,theta,3.518771565244436,-3.849234656131571,10.617439812309057
NSGA-II,NSGA-II,OSLI,6.213145823450989,4.577687198661986,7.228132277379802
DDPG::Balanced_Performance,DDPG Balanced,FAR,1.619401752948761,1.4747775197029114,1.8410202264785767
DDPG::Balanced_Performance,DDPG Balanced,SD,52.28798294067383,33.09624481201172,69.375
DDPG::Balanced_Performance,DDPG Balanced,AF,7.236324310302734,6.572409510612488,9.010473489761353
DDPG::Balanced_Performance,DDPG Balanced,AR_ew,0.6254949271678925,0.46261051297187805,0.7424302697181702
DDPG::Balanced_Performance,DDPG Balanced,AR_ns,0.7496766746044159,0.6653698086738586,1.172477900981903
DDPG::Balanced_Performance,DDPG Balanced,SVF,0.7017967104911804,0.6765778362751007,0.7286869585514069
DDPG::Balanced_Performance,DDPG Balanced,BD,0.20822639763355255,0.1944051384925842,0.21922300010919565
DDPG::Balanced_Performance,DDPG Balanced,OSR,0.4893026351928711,0.4468671604990959,0.5394372940063477
DDPG::Balanced_Performance,DDPG Balanced,SC,0.6914438009262085,0.6323559135198593,0.7440184056758881
DDPG::Balanced_Performance,DDPG Balanced,PAR,0.1234941408038139,0.11588312871754163,0.1352026984095573
DDPG::Balanced_Performance,DDPG Balanced,theta,34.07466506958008,-6.797018051147461,44.98649978637695
DDPG::Balanced_Performance,DDPG Balanced,OSLI,7.064021110534668,5.8171632289886475,8.0
DDPG::Energy_Saving_Focus,DDPG Saving,FAR,1.8079661130905151,1.6283222436904907,1.9601623415946958
DDPG::Energy_Saving_Focus,DDPG Saving,SD,40.600711822509766,31.22171211242675,49.483031272888184
DDPG::Energy_Saving_Focus,DDPG Saving,AF,8.86391544342041,7.634567499160767,9.318119525909424
DDPG::Energy_Saving_Focus,DDPG Saving,AR_ew,0.8769449293613434,0.7217593044042587,1.0509103536605835
DDPG::Energy_Saving_Focus,DDPG Saving,AR_ns,0.6653698086738586,0.6653698086738586,0.9939076900482178
DDPG::Energy_Saving_Focus,DDPG Saving,SVF,0.6845138370990753,0.647988885641098,0.7170171439647675
DDPG::Energy_Saving_Focus,DDPG Saving,BD,0.19365876168012613,0.1909697391092777,0.19977398961782455
DDPG::Energy_Saving_Focus,DDPG Saving,OSR,0.4167007058858871,0.3797290176153183,0.4526792466640472
DDPG::Energy_Saving_Focus,DDPG Saving,SC,0.6343404650688171,0.6131207793951035,0.6704413592815399
DDPG::Energy_Saving_Focus,DDPG Saving,PAR,0.13171668350696558,0.11863278225064275,0.14788125827908516
DDPG::Energy_Saving_Focus,DDPG Saving,theta,33.907981872558594,5.8283538818359375,44.98649978637695
DDPG::Energy_Saving_Focus,DDPG Saving,OSLI,6.036282539367676,2.755239188671112,8.0
DDPG::Energy_Generation_Focus,DDPG Generation,FAR,1.490494728088379,1.3207290768623352,1.721683382987976
DDPG::Energy_Generation_Focus,DDPG Generation,SD,53.5560417175293,41.218000411987305,61.9977388381958
DDPG::Energy_Generation_Focus,DDPG Generation,AF,7.164477109909058,6.129586219787598,8.074651002883911
DDPG::Energy_Generation_Focus,DDPG Generation,AR_ew,0.7085265219211578,0.6212676465511322,0.7655685096979141
DDPG::Energy_Generation_Focus,DDPG Generation,AR_ns,0.9933801889419556,0.6853059530258179,1.321034938097
DDPG::Energy_Generation_Focus,DDPG Generation,SVF,0.7212610244750977,0.6827722936868668,0.7436255812644958
DDPG::Energy_Generation_Focus,DDPG Generation,BD,0.2113418728113174,0.2014053128659725,0.22160611674189562
DDPG::Energy_Generation_Focus,DDPG Generation,OSR,0.474479004740715,0.41604708135128016,0.5353989452123642
DDPG::Energy_Generation_Focus,DDPG Generation,SC,0.6753910183906555,0.6600130200386047,0.7248158901929855
DDPG::Energy_Generation_Focus,DDPG Generation,PAR,0.12822556495666498,0.12325559929013251,0.13654263690114016
DDPG::Energy_Generation_Focus,DDPG Generation,theta,24.649078369140625,-4.451937675476073,39.408430099487305
DDPG::Energy_Generation_Focus,DDPG Generation,OSLI,7.644599437713623,6.441218852996826,8.0
FeasiblePoolRandom::Balanced_Performance,FeasiblePoolRandom Balanced,FAR,1.71875,1.71875,1.71875
FeasiblePoolRandom::Balanced_Performance,FeasiblePoolRandom Balanced,SD,16.125,16.125,16.125
FeasiblePoolRandom::Balanced_Performance,FeasiblePoolRandom Balanced,AF,7.92,7.92,7.92
FeasiblePoolRandom::Balanced_Performance,FeasiblePoolRandom Balanced,AR_ew,0.5976937435327159,0.5976937435327159,0.5976937435327159
FeasiblePoolRandom::Balanced_Performance,FeasiblePoolRandom Balanced,AR_ns,1.3600001409889946,1.3600001409889946,1.3600001409889946
FeasiblePoolRandom::Balanced_Performance,FeasiblePoolRandom Balanced,SVF,0.7271436335080205,0.7271436335080205,0.7271436335080205
FeasiblePoolRandom::Balanced_Performance,FeasiblePoolRandom Balanced,BD,0.2170138888888889,0.2170138888888889,0.2170138888888889
FeasiblePoolRandom::Balanced_Performance,FeasiblePoolRandom Balanced,OSR,0.4555555555555555,0.4555555555555555,0.4555555555555555
FeasiblePoolRandom::Balanced_Performance,FeasiblePoolRandom Balanced,SC,0.659890427825296,0.659890427825296,0.659890427825296
FeasiblePoolRandom::Balanced_Performance,FeasiblePoolRandom Balanced,PAR,0.139318275651682,0.139318275651682,0.139318275651682
FeasiblePoolRandom::Balanced_Performance,FeasiblePoolRandom Balanced,theta,-0.73997893287099,-0.73997893287099,-0.73997893287099
FeasiblePoolRandom::Balanced_Performance,FeasiblePoolRandom Balanced,OSLI,8.0,8.0,8.0
