scenario,seed,episodes,reward_initial,reward_final,reward_best,reward_gain,best_episode,plateau_episode,best_final_gap,best_final_gap_ratio,late_regression
Balanced_Performance,0,600.0,2.41865325906963,1.303144415331908,36.44932372030484,-1.115508843737722,508.0,509.0,35.14617930497293,0.9642477752034131,True
Balanced_Performance,1,600.0,3.054536049389557,11.212086332443171,26.56412468485587,8.157550283053613,336.0,339.0,15.352038352412698,0.5779237424361605,True
Balanced_Performance,2,600.0,3.782480920840557,19.043189975443614,32.60300201255096,15.260709054603057,462.0,217.0,13.559812037107346,0.4159068551996321,True
Balanced_Performance,3,600.0,3.0696442031503697,2.2195085813692117e-06,31.664945388549192,-3.0696419836417883,276.0,216.0,31.664943169040612,0.9999999299064454,True
Balanced_Performance,4,600.0,2.326616084884317,13.521600836123206,34.93465957929069,11.194984751238888,364.0,362.0,21.413058743167483,0.6129459683030996,True
Balanced_Performance,5,600.0,3.0303530486953116,15.678190632003423,31.068937745348563,12.64783758330811,528.0,240.0,15.39074711334514,0.49537410128060594,True
Balanced_Performance,6,600.0,2.5683778719203114,17.620432610032008,32.62899684596391,15.052054738111696,490.0,485.0,15.008564235931903,0.45997626916894957,True
Balanced_Performance,7,600.0,3.14191040786418,19.929785147352057,29.56657321121104,16.787874739487876,245.0,206.0,9.636788063858983,0.3259352375744684,True
Balanced_Performance,8,600.0,4.79097498598531,25.80070050357915,27.98388021222082,21.009725517593843,385.0,414.0,2.1831797086416707,0.078015617994543,False
Balanced_Performance,9,600.0,2.8218038265264056,14.962812452870581,31.0056549814502,12.141008626344176,367.0,258.0,16.04284252857962,0.5174166628048205,True
Balanced_Performance,10,600.0,2.6106264624051847,7.88690143459586,31.45152542674727,5.276274972190675,503.0,513.0,23.56462399215141,0.7492362825782493,True
Balanced_Performance,11,600.0,2.011822638615854,20.09127963768223,33.14569081667511,18.079456999066377,357.0,256.0,13.054411178992883,0.39384942227317826,True
Balanced_Performance,12,600.0,1.7697141617771115,28.912283903204504,31.250586918669903,27.14256974142739,430.0,265.0,2.3383030154653994,0.074824291190142,False
Balanced_Performance,13,600.0,3.301130692606368,2.2195085813692117e-06,28.50116413328218,-3.3011284730977866,274.0,285.0,28.5011619137736,0.9999999221256869,True
Balanced_Performance,14,600.0,2.9756500747040664,28.121724938040725,34.17088156709217,25.146074863336658,511.0,502.0,6.049156629051442,0.1770266481762942,False
Balanced_Performance,15,600.0,3.1465713156883353,15.600776664652692,33.97136167554733,12.454205348964356,499.0,501.0,18.370585010894636,0.5407668137164436,True
Balanced_Performance,16,600.0,3.4256814939410902,22.445303088895805,29.148360778388177,19.019621594954714,282.0,277.0,6.703057689492372,0.22996345284920108,True
Balanced_Performance,17,600.0,2.293573699158743,0.772448783123404,30.12047984583088,-1.521124916035339,316.0,310.0,29.348031062707474,0.9743546986277404,True
Balanced_Performance,18,600.0,3.5140540528731377,7.024230476486245,33.35182319452661,3.5101764236131077,401.0,409.0,26.327592718040364,0.7893899102451768,True
Balanced_Performance,19,600.0,3.5869731111456375,23.12175513205974,30.811608712487192,19.5347820209141,227.0,231.0,7.689853580427453,0.24957650384904906,True
Energy_Saving_Focus,0,600.0,1.4530652125161791,18.24307647285952,30.769275740933992,16.79001126034334,401.0,407.0,12.526199268074471,0.40710088120176996,True
Energy_Saving_Focus,1,600.0,1.639414889758849,18.55609193373141,30.918084764506805,16.91667704397256,482.0,283.0,12.361992830775396,0.39983048513298136,True
Energy_Saving_Focus,2,600.0,2.853254362158558,23.216988266938902,25.36337588171554,20.363733904780343,324.0,587.0,2.146387614776639,0.08462547039426128,False
Energy_Saving_Focus,3,600.0,1.9489529498756424,1.5534173713416568,38.406775189539026,-0.3955355785339856,542.0,542.0,36.85335781819737,0.9595535588792478,True
Energy_Saving_Focus,4,600.0,1.570387561396167,1.2288943704410829,32.01581473908896,-0.34149319095508424,357.0,293.0,30.786920368647877,0.9616160206930267,True
Energy_Saving_Focus,5,600.0,1.6585962576078566,4.815935344702112,32.690835583485345,3.1573390870942553,350.0,269.0,27.874900238783233,0.8526824029198259,True
Energy_Saving_Focus,6,600.0,1.2414992192978984,4.6235104584462245,30.999241374977988,3.3820112391483264,279.0,279.0,26.375730916531765,0.8508508513960528,True
Energy_Saving_Focus,7,600.0,2.7159285609120802,14.751763355502847,25.539156808049476,12.035834794590766,257.0,292.0,10.78739345254663,0.4223864371726885,True
