matched_sample_id,selection_stratum,projection_distance,analytic_EUIt,analytic_EG,analytic_H,physical_EUIt,physical_EG_GHI_proxy,physical_H,energyplus_ok,radiance_ok,case_family
27,maximin_space_filling,0.0,72.06467347316162,2.058950193391172,7.037304518747197,69.497,2.837775432000001,6.25,True,True,direct_feasible
70,maximin_space_filling,0.0,73.13952059550165,2.1409900705828697,6.799874013893476,72.824,2.8377754320000026,5.6,True,True,direct_feasible
149,low_EUIt,0.0,66.0,2.092736775867307,6.606624681351279,74.945,1.7242179840000005,8.675,True,True,direct_feasible
237,high_EG,0.0,66.99101535549546,2.85,7.85,73.655,2.316917916,6.675,True,True,direct_feasible
359,high_H,0.0,66.0,2.5511687760665462,7.553954400970144,74.398,1.6703361720000005,8.175,True,True,direct_feasible
442,high_H,0.0,69.3861584149749,2.608668854491549,7.85,70.419,2.945539056,6.475,True,True,direct_feasible
506,low_EUIt,0.0,66.88101481014009,2.85,7.85,73.2,2.245075500000001,6.5,True,True,direct_feasible
585,interior_random,0.0,71.82832827169698,2.441351306397453,6.914304765145819,72.669,2.280996708,7.6,True,True,direct_feasible
603,maximin_space_filling,0.0,72.33183959684335,2.394446416649633,7.469187194393195,69.782,2.8736966399999995,5.175,True,True,direct_feasible
704,maximin_space_filling,0.0,69.54157958788505,2.5194956419841,7.199220408380192,74.119,2.298957312,6.375,True,True,direct_feasible
883,interior_random,0.0,70.58053938075265,2.426535373013266,7.102879981210026,71.234,2.478563352,6.5,True,True,direct_feasible
897,high_EG,0.0,68.57846945430116,2.709441551347163,7.85,69.875,2.424681540000001,6.625,True,True,direct_feasible
1009,maximin_space_filling,0.0,77.15828478993507,1.7612768169896589,6.006569520434968,75.343,1.9756664400000008,6.525,True,True,direct_feasible
1052,interior_random,0.0,70.05465310892698,2.4175664330226603,7.022679531920423,73.357,2.209154292,6.525,True,True,direct_feasible
1499,maximin_space_filling,0.0,66.0,2.25868436656132,6.844643797563489,75.034,1.580533152000001,8.55,True,True,direct_feasible
1771,interior_random,0.0,70.93974492999267,2.522246926699361,7.1698297586372455,72.423,2.658169392,6.825,True,True,direct_feasible
1824,maximin_space_filling,0.0,74.01182880772072,2.219546604812583,7.144476172960282,71.853,2.873696639999999,4.975,True,True,direct_feasible
1984,maximin_space_filling,0.0,76.40083771545149,1.869046884566716,6.568469249730343,70.164,2.514484560000001,6.075,True,True,direct_feasible
